,roc_auc_score,euclidean,canberra,cosine,Parents,Variation_Function,Individual,Generation,Submitted Timestamp,Completed Timestamp,Eval Error,Pareto_Front,pipeline_scores_Euc,pipeline_scores_Canberra,pipeline_scores_cosine,selected_fs,pr_auc,f1_score,precision,recall
"('SequentialPipeline', 'FeatureSetSelector(181)', ('SequentialPipeline', 'MaxAbsScaler()', 'Passthrough()', frozenset({'QuantileTransformer(n_quantiles=1915, output_distribution=uniform)', 'FeatureUnion', 'Binarizer(threshold=0.17921866792436736)'}), 'LGBMClassifier(boosting_type=gbdt, class_weight=balanced, max_depth=1, n_estimators=95, n_jobs=1, num_leaves=19, verbose=-1)'))",0.5696260327071072,0.5325895052457668,7.315636381544529,0.3106086938587729,"(('SequentialPipeline', 'FeatureSetSelector(181)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', frozenset({'QuantileTransformer(n_quantiles=1915, output_distribution=uniform)', 'FeatureUnion', 'Binarizer(threshold=0.17921866792436736)'}), 'LGBMClassifier(boosting_type=gbdt, class_weight=balanced, max_depth=1, n_estimators=95, n_jobs=1, num_leaves=19, verbose=-1)')), ('SequentialPipeline', 'FeatureSetSelector(181)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', frozenset({'QuantileTransformer(n_quantiles=1915, output_distribution=uniform)', 'FeatureUnion', 'Binarizer(threshold=0.17921866792436736)'}), 'LGBMClassifier(boosting_type=gbdt, class_weight=balanced, max_depth=1, n_estimators=95, n_jobs=1, num_leaves=19, verbose=-1)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x155257fd6680>,22.0,1764886164.7056615,1764886168.3729002,,,0.0,1.0,0.0,181,0.5449192776675259,0.6250417362270451,0.5374162679425837,0.7468085106382979
"('SequentialPipeline', 'FeatureSetSelector(171)', ('SequentialPipeline', 'MaxAbsScaler()', 'SelectPercentile(percentile=82.46476612675707)', 'Passthrough()', 'LGBMClassifier(boosting_type=goss, class_weight=balanced, max_depth=6, n_estimators=29, n_jobs=1, num_leaves=223, verbose=-1)'))",0.544801486815301,0.669083615247889,8.984186152002591,0.9838336820245585,"(('SequentialPipeline', 'FeatureSetSelector(171)', ('SequentialPipeline', 'MaxAbsScaler()', 'SelectPercentile(percentile=82.46476612675707)', 'Passthrough()', 'LGBMClassifier(boosting_type=dart, class_weight=None, max_depth=4, n_estimators=39, n_jobs=1, num_leaves=176, verbose=-1)')), ('SequentialPipeline', 'FeatureSetSelector(171)', ('SequentialPipeline', 'MaxAbsScaler()', 'SelectPercentile(percentile=82.46476612675707)', 'Passthrough()', 'LGBMClassifier(boosting_type=dart, class_weight=None, max_depth=4, n_estimators=39, n_jobs=1, num_leaves=176, verbose=-1)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x15521a613f10>,25.0,1764886565.148968,1764886566.461893,,,1.0,3.0,3.0,171,0.5386722329224289,0.5311710753688688,0.5309593409513685,0.5313829787234042
"('SequentialPipeline', 'FeatureSetSelector(252)', ('SequentialPipeline', 'RobustScaler(q_max=0.7314742009630105, q_min=0.11060124953930647)', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.5020018152926831, min_samples_leaf=16, min_samples_split=16, n_estimators=100, n_jobs=1)'))",0.5792605534178361,0.7345680826766069,8.143181303473751,0.4245384683942768,"(('SequentialPipeline', 'FeatureSetSelector(233)', ('SequentialPipeline', 'RobustScaler(q_max=0.7314742009630105, q_min=0.11060124953930647)', 'Passthrough()', 'Passthrough()', 'LGBMClassifier(boosting_type=gbdt, class_weight=None, max_depth=2, n_estimators=25, n_jobs=1, num_leaves=88, verbose=-1)')), ('SequentialPipeline', 'FeatureSetSelector(252)', ('SequentialPipeline', 'StandardScaler()', 'SelectPercentile(percentile=98.03810854176808)', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.5020018152926831, min_samples_leaf=16, min_samples_split=16, n_estimators=100, n_jobs=1)')))","ind_mutate , ind_mutate , ind_crossover",<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x15519eb3f0d0>,31.0,1764887376.9892035,1764887379.9474242,,,2.0,2.0,1.0,252,0.5571639949522755,0.5991931656383483,0.540916880891174,0.6715425531914894
"('SequentialPipeline', 'FeatureSetSelector(519)', ('SequentialPipeline', 'MaxAbsScaler()', 'SelectPercentile(percentile=68.97202762855953)', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.22611798044862622, min_samples_leaf=15, min_samples_split=7, n_estimators=100, n_jobs=1)'))",0.6025595574920779,0.6019528184855937,7.369829454524821,0.4334178884457171,"(('SequentialPipeline', 'FeatureSetSelector(519)', ('SequentialPipeline', 'RobustScaler(q_max=0.7382638715040313, q_min=0.12708459621486798)', 'SelectPercentile(percentile=68.97202762855953)', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.22611798044862622, min_samples_leaf=15, min_samples_split=7, n_estimators=100, n_jobs=1)')), ('SequentialPipeline', 'FeatureSetSelector(519)', ('SequentialPipeline', 'RobustScaler(q_max=0.7382638715040313, q_min=0.12708459621486798)', 'SelectPercentile(percentile=68.97202762855953)', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.22611798044862622, min_samples_leaf=15, min_samples_split=7, n_estimators=100, n_jobs=1)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x155117f28430>,39.0,1764888644.145718,1764888647.9541523,,,1.0,1.0,1.0,519,0.5689005829551901,0.5953312302839117,0.5663865546218487,0.6273936170212766
"('SequentialPipeline', 'FeatureSetSelector(412)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)'))",0.5719084568809416,0.4725071051879491,6.097895547443925,0.2173281941997684,"(('SequentialPipeline', 'FeatureSetSelector(412)', ('SequentialPipeline', 'MaxAbsScaler()', 'SelectPercentile(percentile=98.03810854176808)', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.5020018152926831, min_samples_leaf=16, min_samples_split=16, n_estimators=100, n_jobs=1)')), ('SequentialPipeline', 'FeatureSetSelector(6)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))","ind_mutate , ind_mutate , ind_crossover",<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x15504059f790>,48.0,1764889707.4004316,1764889711.5484896,,,0.0,0.0,0.0,412,0.5439845176532256,0.566722429545747,0.5489902767389678,0.5856382978723405
"('SequentialPipeline', 'FeatureSetSelector(456)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0027966332503637733)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)'))",0.5780852478497057,0.8933804897724408,9.24618555444453,0.7740805269261759,"(('SequentialPipeline', 'FeatureSetSelector(81)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0027966332503637733)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(456)', ('SequentialPipeline', 'RobustScaler(q_max=0.944101245130463, q_min=0.21209530651349504)', 'SelectPercentile(percentile=69.27858978352317)', frozenset({'FeatureUnion', 'FastICA(algorithm=deflation, n_components=38, whiten=unit-variance)', 'QuantileTransformer(n_quantiles=353, output_distribution=uniform)'}), 'ExtraTreesClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.5020018152926831, min_samples_leaf=16, min_samples_split=16, n_estimators=100, n_jobs=1)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x155095f2d300>,49.0,1764889825.7890337,1764889831.234944,,,3.0,3.0,3.0,456,0.5443412899405289,0.5799069533509368,0.5499642260911042,0.6132978723404255
"('SequentialPipeline', 'FeatureSetSelector(533)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)'))",0.5997000198053417,0.6958276303064986,8.153474385870993,0.6122883739243732,"(('SequentialPipeline', 'FeatureSetSelector(379)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(533)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))","ind_crossover , ind_mutate",<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x155010ddddb0>,50.0,1764889868.4729762,1764889874.5318904,,1.0,2.0,2.0,2.0,533,0.5560906711511883,0.5923106204796346,0.566367386556661,0.6207446808510638
"('SequentialPipeline', 'FeatureSetSelector(397)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)'))",0.570921231326392,0.7026423633561119,8.078539403263292,0.7622973782355532,"(('SequentialPipeline', 'FeatureSetSelector(397)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(533)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154ffcdc2bc0>,51.0,1764890030.5133855,1764890033.3007286,,,2.0,2.0,3.0,397,0.5446836637965572,0.5451407328730749,0.5442735949098622,0.5460106382978723
"('SequentialPipeline', 'FeatureSetSelector(219)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)'))",0.5801748528746039,1.110434963874144,11.198411124260277,1.177500257913175,"(('SequentialPipeline', 'FeatureSetSelector(6)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(219)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fed372530>,52.0,1764890132.9263396,1764890135.8638427,,1.0,3.0,3.0,3.0,219,0.54962227044031,0.6010823812387251,0.5486278814489572,0.6646276595744681
"('SequentialPipeline', 'FeatureSetSelector(278)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.5088378448816231, min_samples_leaf=17, min_samples_split=17, n_estimators=100, n_jobs=1)'))",0.5428660451561793,0.1862511257015907,3.640633481267573,0.0146013512199529,"(('SequentialPipeline', 'FeatureSetSelector(278)', ('SequentialPipeline', 'Normalizer(norm=max)', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.5088378448816231, min_samples_leaf=17, min_samples_split=17, n_estimators=100, n_jobs=1)')), ('SequentialPipeline', 'FeatureSetSelector(278)', ('SequentialPipeline', 'Normalizer(norm=max)', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.5088378448816231, min_samples_leaf=17, min_samples_split=17, n_estimators=100, n_jobs=1)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fe7ec4d60>,52.0,1764890114.3248122,1764890116.2262113,,,0.0,0.0,0.0,278,0.5295042666416279,0.5067709060449532,0.5333529238906847,0.48271276595744683
"('SequentialPipeline', 'FeatureSetSelector(95)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)'))",0.563218509506564,0.5840708488198663,6.547335996122716,0.2303988615763351,"(('SequentialPipeline', 'FeatureSetSelector(123)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(95)', ('SequentialPipeline', 'StandardScaler()', 'Passthrough()', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=entropy, max_features=0.1359377345384159, min_samples_leaf=10, min_samples_split=19, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fd69e9a50>,53.0,1764890276.4148896,1764890279.6656067,,,1.0,0.0,0.0,95,0.5429430625133367,0.5663874079715664,0.5417678484701312,0.5933510638297872
"('SequentialPipeline', 'FeatureSetSelector(433)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', frozenset({'FeatureUnion', 'QuantileTransformer(n_quantiles=1915, output_distribution=uniform)'}), 'ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion=gini, max_features=0.26219708238014516, min_samples_leaf=15, min_samples_split=17, n_estimators=100, n_jobs=1)'))",0.5712746152105024,0.4133802350242695,6.556805364798096,0.3090349694294236,"(('SequentialPipeline', 'FeatureSetSelector(433)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.054844337373420086)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(309)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', frozenset({'FeatureUnion', 'QuantileTransformer(n_quantiles=1915, output_distribution=uniform)'}), 'ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion=gini, max_features=0.26219708238014516, min_samples_leaf=15, min_samples_split=17, n_estimators=100, n_jobs=1)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fd2e6c280>,53.0,1764890239.501272,1764890247.2567928,,,0.0,0.0,0.0,433,0.5480893965021028,0.5899576527525711,0.5411764705882353,0.6484042553191489
"('SequentialPipeline', 'FeatureSetSelector(233)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003044997864560884)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)'))",0.5583764571072883,1.0839777677289752,10.753635960281516,1.1583855812195216,"(('SequentialPipeline', 'FeatureSetSelector(456)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0027966332503637733)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(233)', ('SequentialPipeline', 'RobustScaler(q_max=0.7314742009630105, q_min=0.11060124953930647)', 'Passthrough()', 'Passthrough()', 'LGBMClassifier(boosting_type=gbdt, class_weight=None, max_depth=2, n_estimators=25, n_jobs=1, num_leaves=88, verbose=-1)')))","ind_mutate , ind_mutate , ind_crossover",<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fbd742770>,54.0,1764890390.0808606,1764890393.1022682,,,3.0,3.0,3.0,233,0.5332011390400613,0.5621896880967536,0.5391941391941392,0.5872340425531914
"('SequentialPipeline', 'FeatureSetSelector(81)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)'))",0.5607117191036668,0.924026261825624,9.98071944646088,1.07134814506333,"(('SequentialPipeline', 'FeatureSetSelector(537)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(537)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fbd2ced40>,54.0,1764890389.1176093,1764890392.6689768,,,3.0,3.0,3.0,81,0.5428545964709746,0.5549295774647888,0.5350617283950617,0.5763297872340426
"('SequentialPipeline', 'FeatureSetSelector(105)', ('SequentialPipeline', 'MinMaxScaler()', 'VarianceThreshold(threshold=0.024500238450803236)', 'Passthrough()', 'BaggingClassifier(bootstrap=False, bootstrap_features=True, max_features=0.7101853581780917, max_samples=0.8746036629537578, n_estimators=99, n_jobs=1)'))",0.5641988385581711,0.7705617791551032,10.068277353784962,0.9887549966152388,"(('SequentialPipeline', 'FeatureSetSelector(105)', ('SequentialPipeline', 'MinMaxScaler()', 'VarianceThreshold(threshold=0.024500238450803236)', 'Passthrough()', 'BaggingClassifier(bootstrap=True, bootstrap_features=False, max_features=0.5839682973785953, max_samples=0.8677484277444497, n_estimators=98, n_jobs=1, oob_score=False)')), ('SequentialPipeline', 'FeatureSetSelector(105)', ('SequentialPipeline', 'MinMaxScaler()', 'VarianceThreshold(threshold=0.024500238450803236)', 'Passthrough()', 'BaggingClassifier(bootstrap=True, bootstrap_features=False, max_features=0.5839682973785953, max_samples=0.8677484277444497, n_estimators=98, n_jobs=1, oob_score=False)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154f52cbfb20>,59.0,1764891007.3383586,1764891015.7484715,,,2.0,3.0,3.0,105,0.5473564092301466,0.5597637694184106,0.5410771903698188,0.5797872340425532
"('SequentialPipeline', 'FeatureSetSelector(268)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0001044639568115371)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)'))",0.5518004470348573,0.5678417599561526,6.209759933083848,0.1962110117750042,"(('SequentialPipeline', 'FeatureSetSelector(437)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(268)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003177454058273753)', frozenset({'QuantileTransformer(n_quantiles=54, output_distribution=uniform)', 'FeatureUnion'}), 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154fd95d5c90>,59.0,1764890990.5494688,1764890995.3665435,,,0.0,0.0,0.0,268,0.53293889386299,0.530437114507911,0.5348837209302325,0.5260638297872341
"('SequentialPipeline', 'FeatureSetSelector(6)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.5088378448816231, min_samples_leaf=17, min_samples_split=17, n_estimators=100, n_jobs=1)'))",0.5672810095065641,1.3210685261172417,11.645268271045426,1.1624636482452966,"(('SequentialPipeline', 'FeatureSetSelector(6)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(278)', ('SequentialPipeline', 'Passthrough()', 'Passthrough()', 'Passthrough()', 'ExtraTreesClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.5088378448816231, min_samples_leaf=17, min_samples_split=17, n_estimators=100, n_jobs=1)')))","ind_mutate , ind_mutate , ind_crossover",<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154f23e50220>,61.0,1764891251.8350167,1764891254.1576505,,1.0,3.0,3.0,3.0,6,0.5502930993169177,0.5593859763236634,0.5474917239623122,0.5718085106382979
"('SequentialPipeline', 'FeatureSetSelector(83)', ('SequentialPipeline', 'Passthrough()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)'))",0.575019451674966,0.5587077630393943,7.72425278904229,0.6368623246821763,"(('SequentialPipeline', 'FeatureSetSelector(305)', ('SequentialPipeline', 'Passthrough()', 'VarianceThreshold(threshold=0.0001044639568115371)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.10380302065546222, min_samples_leaf=19, min_samples_split=19, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(83)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.0027966332503637733)', 'Passthrough()', 'RandomForestClassifier(bootstrap=True, class_weight=balanced, criterion=gini, max_features=0.17195659569059926, min_samples_leaf=15, min_samples_split=2, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154f0d727b80>,62.0,1764891449.0680056,1764891454.7171328,,,0.0,1.0,2.0,83,0.5511385385532865,0.5664460285132383,0.543212890625,0.5917553191489362
"('SequentialPipeline', 'FeatureSetSelector(359)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0007672024937262637)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)'))",0.5878853553644182,0.9128445920876648,10.954985985042978,1.1059414601919086,"(('SequentialPipeline', 'FeatureSetSelector(359)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(359)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0034220803856709198)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')))",ind_mutate,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154ebe3c4d60>,66.0,1764891913.1627192,1764891917.1469793,,1.0,3.0,3.0,3.0,359,0.5535711534815851,0.5976272862086011,0.5581717451523546,0.6430851063829788
"('SequentialPipeline', 'FeatureSetSelector(463)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0008864898931895472)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)'))",0.583410055454957,0.3907006360732565,5.561671900961374,0.1850804465156617,"(('SequentialPipeline', 'FeatureSetSelector(17)', ('SequentialPipeline', 'MaxAbsScaler()', 'VarianceThreshold(threshold=0.0008864898931895472)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')), ('SequentialPipeline', 'FeatureSetSelector(463)', ('SequentialPipeline', 'StandardScaler()', 'VarianceThreshold(threshold=0.003364640809809684)', 'Passthrough()', 'RandomForestClassifier(bootstrap=False, class_weight=balanced, criterion=gini, max_features=0.01415372513331812, min_samples_leaf=5, min_samples_split=9, n_estimators=128)')))",ind_crossover,<tpot2.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x154eb9479150>,66.0,1764891895.8993344,1764891898.820741,,,0.0,0.0,0.0,463,0.5529024835013525,0.5705889868404241,0.5490533562822719,0.5938829787234042
